"u_sol","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.29397,1,0.803,0.5,0.803,0
0.29616,1,0.804,0.5,0.804,0
0.29836,1,0.805,0.5,0.805,0
0.30055,1,0.806,0.5,0.806,0
0.30275,1,0.807,0.5,0.807,0
0.30494,1,0.808,0.5,0.808,0
0.30713,1,0.809,0.5,0.809,0
0.30933,1,0.81,0.5,0.81,0
0.31152,1,0.811,0.5,0.811,0
0.31371,1,0.812,0.5,0.812,0
0.31485,1,0.813,0.5,0.813,0
0.31494,1,0.814,0.5,0.814,0
0.31502,1,0.815,0.5,0.815,0
0.31511,1,0.816,0.5,0.816,0
0.31519,1,0.817,0.5,0.817,0
0.31528,1,0.818,0.5,0.818,0
0.31536,1,0.819,0.5,0.819,0
0.31544,1,0.82,0.5,0.82,0
0.31553,1,0.821,0.5,0.821,0
0.31561,1,0.822,0.5,0.822,0
0.3157,1,0.823,0.5,0.823,0
0.31578,1,0.824,0.5,0.824,0
0.31586,1,0.825,0.5,0.825,0
0.31595,1,0.826,0.5,0.826,0
0.31603,1,0.827,0.5,0.827,0
0.31612,1,0.828,0.5,0.828,0
0.3162,1,0.829,0.5,0.829,0
0.31629,1,0.83,0.5,0.83,0
0.31637,1,0.831,0.5,0.831,0
0.31645,1,0.832,0.5,0.832,0
0.31654,1,0.833,0.5,0.833,0
0.31662,1,0.834,0.5,0.834,0
0.31671,1,0.835,0.5,0.835,0
0.31679,1,0.836,0.5,0.836,0
0.31688,1,0.837,0.5,0.837,0
0.31696,1,0.838,0.5,0.838,0
0.31704,1,0.839,0.5,0.839,0
0.31713,1,0.84,0.5,0.84,0
0.31721,1,0.841,0.5,0.841,0
0.3173,1,0.842,0.5,0.842,0
0.31738,1,0.843,0.5,0.843,0
0.31811,1,0.844,0.5,0.844,0
0.32075,1,0.845,0.5,0.845,0
0.3234,1,0.846,0.5,0.846,0
0.32605,1,0.847,0.5,0.847,0
0.3287,1,0.848,0.5,0.848,0
0.33134,1,0.849,0.5,0.849,0
0.33399,1,0.85,0.5,0.85,0
0.33664,1,0.851,0.5,0.851,0
0.33929,1,0.852,0.5,0.852,0
0.34193,1,0.853,0.5,0.853,0
0.34458,1,0.854,0.5,0.854,0
0.34723,1,0.855,0.5,0.855,0
0.34988,1,0.856,0.5,0.856,0
0.35252,1,0.857,0.5,0.857,0
0.35517,1,0.858,0.5,0.858,0
0.35782,1,0.859,0.5,0.859,0
0.36047,1,0.86,0.5,0.86,0
0.36311,1,0.861,0.5,0.861,0
0.36576,1,0.862,0.5,0.862,0
0.36841,1,0.863,0.5,0.863,0
0.37106,1,0.864,0.5,0.864,0
0.3737,1,0.865,0.5,0.865,0
0.37635,1,0.866,0.5,0.866,0
0.379,1,0.867,0.5,0.867,0
0.38164,1,0.868,0.5,0.868,0
0.38429,1,0.869,0.5,0.869,0
0.38694,1,0.87,0.5,0.87,0
0.38959,1,0.871,0.5,0.871,0
0.39223,1,0.872,0.5,0.872,0
0.39488,1,0.873,0.5,0.873,0
0.39753,1,0.874,0.5,0.874,0
0.40018,1,0.875,0.5,0.875,0
0.3998,1,0.876,0.5,0.876,0
0.39943,1,0.877,0.5,0.877,0
0.39906,1,0.878,0.5,0.878,0
0.39869,1,0.879,0.5,0.879,0
0.39831,1,0.88,0.5,0.88,0
0.39794,1,0.881,0.5,0.881,0
0.39757,1,0.882,0.5,0.882,0
0.3972,1,0.883,0.5,0.883,0
0.39682,1,0.884,0.5,0.884,0
0.39645,1,0.885,0.5,0.885,0
0.39608,1,0.886,0.5,0.886,0
0.39571,1,0.887,0.5,0.887,0
0.39533,1,0.888,0.5,0.888,0
0.39496,1,0.889,0.5,0.889,0
0.39459,1,0.89,0.5,0.89,0
0.39421,1,0.891,0.5,0.891,0
0.39384,1,0.892,0.5,0.892,0
0.39347,1,0.893,0.5,0.893,0
0.3931,1,0.894,0.5,0.894,0
0.39272,1,0.895,0.5,0.895,0
0.39235,1,0.896,0.5,0.896,0
0.39198,1,0.897,0.5,0.897,0
0.39161,1,0.898,0.5,0.898,0
0.39123,1,0.899,0.5,0.899,0
0.39086,1,0.9,0.5,0.9,0
0.39049,1,0.901,0.5,0.901,0
0.39012,1,0.902,0.5,0.902,0
0.38974,1,0.903,0.5,0.903,0
0.38937,1,0.904,0.5,0.904,0
0.389,1,0.905,0.5,0.905,0
0.38862,1,0.906,0.5,0.906,0
0.39145,1,0.907,0.5,0.907,0
0.39535,1,0.908,0.5,0.908,0
0.39924,1,0.909,0.5,0.909,0
0.40314,1,0.91,0.5,0.91,0
0.40703,1,0.911,0.5,0.911,0
0.41093,1,0.912,0.5,0.912,0
0.41482,1,0.913,0.5,0.913,0
0.41872,1,0.914,0.5,0.914,0
0.42261,1,0.915,0.5,0.915,0
0.42651,1,0.916,0.5,0.916,0
0.43041,1,0.917,0.5,0.917,0
0.4343,1,0.918,0.5,0.918,0
0.4382,1,0.919,0.5,0.919,0
0.44209,1,0.92,0.5,0.92,0
0.44599,1,0.921,0.5,0.921,0
0.44988,1,0.922,0.5,0.922,0
0.45378,1,0.923,0.5,0.923,0
0.45767,1,0.924,0.5,0.924,0
0.46157,1,0.925,0.5,0.925,0
0.46546,1,0.926,0.5,0.926,0
0.46936,1,0.927,0.5,0.927,0
0.47325,1,0.928,0.5,0.928,0
0.47715,1,0.929,0.5,0.929,0
0.48104,1,0.93,0.5,0.93,0
0.48494,1,0.931,0.5,0.931,0
0.48883,1,0.932,0.5,0.932,0
0.49273,1,0.933,0.5,0.933,0
0.49662,1,0.934,0.5,0.934,0
0.50052,1,0.935,0.5,0.935,0
0.50441,1,0.936,0.5,0.936,0
0.50831,1,0.937,0.5,0.937,0
0.5083,1,0.938,0.5,0.938,0
0.50437,1,0.939,0.5,0.939,0
0.50045,1,0.94,0.5,0.94,0
0.49652,1,0.941,0.5,0.941,0
0.4926,1,0.942,0.5,0.942,0
0.48868,1,0.943,0.5,0.943,0
0.48475,1,0.944,0.5,0.944,0
0.48083,1,0.945,0.5,0.945,0
0.47691,1,0.946,0.5,0.946,0
0.47298,1,0.947,0.5,0.947,0
0.46906,1,0.948,0.5,0.948,0
0.46513,1,0.949,0.5,0.949,0
0.46121,1,0.95,0.5,0.95,0
0.45729,1,0.951,0.5,0.951,0
0.45336,1,0.952,0.5,0.952,0
0.44944,1,0.953,0.5,0.953,0
0.44552,1,0.954,0.5,0.954,0
0.44159,1,0.955,0.5,0.955,0
0.43767,1,0.956,0.5,0.956,0
0.43375,1,0.957,0.5,0.957,0
0.42982,1,0.958,0.5,0.958,0
0.4259,1,0.959,0.5,0.959,0
0.42197,1,0.96,0.5,0.96,0
0.41805,1,0.961,0.5,0.961,0
0.41413,1,0.962,0.5,0.962,0
0.4102,1,0.963,0.5,0.963,0
